UserID,Time,TaskLoad,Engagement
004,1661806357.991,1.436,0.625
004,1661806358.491,1.719,0.641
004,1661806358.991,1.514,0.948
004,1661806359.491,1.956,0.543
004,1661806359.991,1.193,0.632
004,1661806360.491,1.287,0.674
004,1661806360.991,1.82,0.672
004,1661806361.491,2.606,0.457
004,1661806361.991,2.36,0.796
004,1661806362.491,1.174,1.431
004,1661806362.991,1.135,0.46
004,1661806363.492,2.362,0.563
004,1661806363.992,1.8,1.103
004,1661806364.492,1.298,0.951
004,1661806364.992,3.174,0.934
004,1661806365.492,2.523,0.524
004,1661806365.992,1.636,1.244
004,1661806366.492,1.217,0.72
004,1661806366.992,1.699,0.947
004,1661806367.492,1.409,0.683
004,1661806367.992,1.26,0.793
004,1661806368.492,2.199,1.068
004,1661806368.992,1.198,0.996
004,1661806369.492,1.359,1.115
004,1661806369.992,2.274,0.588
004,1661806370.492,3.767,0.348
004,1661806370.992,1.314,0.668
004,1661806371.492,1.934,1.045
004,1661806371.992,2.438,0.56
004,1661806372.492,1.586,0.873
004,1661806372.992,0.97,0.414
004,1661806373.493,0.625,0.375
004,1661806373.993,1.849,0.435
004,1661806374.493,3.237,0.791
004,1661806374.993,1.714,0.302
004,1661806375.493,1.205,0.77
004,1661806375.993,1.388,1.248
004,1661806376.493,2.034,0.822
004,1661806376.993,1.938,1.061
004,1661806377.493,1.536,0.9
004,1661806377.993,1.624,0.978
004,1661806378.493,1.756,0.466
004,1661806378.993,0.486,0.698
004,1661806379.493,1.493,0.761
004,1661806379.993,1.497,0.471
004,1661806380.493,2.899,0.41
004,1661806380.993,1.147,0.63
004,1661806381.493,1.272,0.767
004,1661806381.993,2.022,0.347
004,1661806382.493,1.364,0.449
004,1661806382.993,1.588,0.342
004,1661806383.494,0.912,0.407
004,1661806383.994,1.871,0.432
004,1661806384.494,1.96,0.288
004,1661806384.994,1.448,0.459
004,1661806385.494,1.398,0.324
004,1661806385.994,1.454,1.157
004,1661806386.494,2.955,0.382
004,1661806386.994,1.246,0.471
004,1661806387.494,1.282,0.675
004,1661806387.994,1.364,1.011
004,1661806388.494,3.607,0.74
004,1661806388.994,2.243,0.761
004,1661806389.494,1.599,0.634
004,1661806389.994,1.852,1.791
004,1661806390.494,1.503,0.794
004,1661806390.994,1.599,0.927
004,1661806391.494,1.295,0.635
004,1661806391.994,2.03,0.653
004,1661806392.494,1.546,0.783
004,1661806392.994,0.797,0.505
004,1661806393.495,1.024,0.466
004,1661806393.995,1.65,0.709
004,1661806394.495,1.354,0.664
004,1661806394.995,2.768,0.492
004,1661806395.495,1.021,0.539
004,1661806395.995,1.82,0.825
004,1661806396.495,1.097,1.201
004,1661806396.995,1.519,0.874
004,1661806397.495,1.899,0.703
004,1661806397.995,3.292,0.656
004,1661806398.495,1.947,0.681
004,1661806398.995,2.451,0.697
004,1661806399.495,2.038,0.601
004,1661806399.995,1.274,0.57
004,1661806400.495,1.461,0.377
004,1661806400.995,1.134,0.566
