Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652459308.9739063,0.4821546601,3294.8099350558,1362.5121361717,-0.1067506242,0.0414309849,-4.433677192,-2.1961231036,-1.975761266
1652459309.9739063,0.3008702754,2187.7112236549,955.64647786,0.3092083033,0.0414309849,3.9532268861,1.9973289355,2.1270485808
1652459310.9739063,0.3375648837,869.1784958221,131.9651929668,-0.173206391,0.0414309849,1.5142149315,0.7778229582,0.9258899076
1652459311.9739063,0.6466046919,3217.3432599381,102.1018853803,0.37963664,0.0414309849,0.5128793606,0.2771551727,0.5797420263
1652459312.9739063,0.6358828931,667.296722754,1053.5217088748,-0.0299929382,0.0414309849,-0.7752748415,-0.3669219283,-0.0696959742
1652459313.9739063,0.8660894734,111.2945771093,1426.8013096118,-0.373912048,0.0414309849,-0.6244892061,-0.2915291106,0.1208001337
1652459314.9739063,1.0082032505,2721.9170450186,313.7309282939,1.4392706811,0.0414309849,0.0283048954,0.0348679401,0.518254073
1652459315.9739063,1.7679300221,1693.7551391705,644.4414027696,-0.1928887728,0.0414309849,0.4768793273,0.2591551561,1.1224046747
1652459316.9739063,3.4292339401,1714.5641502832,695.1640411773,-0.3875352447,0.0414309849,1.2459366818,0.6436838333,2.337585311
1652459317.9739063,3.3154672131,1199.1560493161,452.8206057605,-0.0939825174,0.0414309849,0.5121249109,0.2767779479,1.913796062
1652459318.9739063,-0.8430677624,1355.8233250238,441.9731590913,-0.0795854784,0.0414309849,0.9000066035,0.4707187942,0.0284694205
1652459319.9739063,-0.4035288194,1642.7794997876,515.6472899048,-0.2661497366,0.0414309849,-0.2971609789,-0.127864997,-0.3503448991
1652459320.9739063,0.1361147145,1806.5977211149,608.1966008848,-0.2581100888,0.0414309849,-1.2673443044,-0.6129566597,-0.5656147949
1652459321.9739063,0.1433475027,1577.9393927518,837.4577007701,-0.3266396646,0.0414309849,0.5397053081,0.2905681465,0.3415264054
1652459322.9739063,0.2373026522,1648.8036648562,852.522704907,-0.3544395402,0.0414309849,-0.4666475612,-0.2126082881,-0.1146724545
1652459323.9739063,0.4077098985,1746.8860074177,840.9245826153,-0.3484928883,0.0657287482,1.8949453358,0.980337042,1.1513276172
1652459324.9739063,0.0756788176,1898.7533726398,830.0569454135,-0.3602795315,0.1988001719,1.9280618145,1.0634309932,1.0018703161
1652459325.9739063,0.1632360818,1789.6356967223,694.5593261852,-0.2709617473,0.2114724747,-0.1993122195,0.0060801276,-0.0180380688
1652459326.9739063,0.0995764511,1958.2774916055,960.7265583866,1.2057009243,0.1267823116,-1.3985575688,-0.6358876286,-0.6494905589
1652459327.9739063,0.963424145,1756.8286333012,888.8866147379,1.1250220316,0.0498002145,-0.4063728141,-0.1782862998,0.2785256655
1652459328.9739063,0.6751868662,1839.5674733666,736.9708938335,-0.2109640376,0.1838407326,1.6509728932,0.9174068129,1.1630798797
1652459329.9739063,0.5323026475,1581.8157933415,755.5707228677,-0.3388932674,0.2114724747,1.3543217482,0.7828971114,0.9433121979
1652459330.9739063,0.310236012,1715.9970429509,622.5363275184,-0.3619118433,0.2114724747,-0.3106717821,-0.0495996537,-0.000217885
1652459331.9739063,-0.2319420861,1724.3329986673,618.4589772062,-0.3620879556,0.2069681053,-2.0232887606,-0.9081603277,-1.1276154234
1652459332.9739063,0.3946070944,1721.7998051859,625.1203782043,-0.376343681,0.0814698241,1.4073172834,0.7443935537,0.9009621889
1652459333.9739063,0.9151751604,1724.0425408736,668.6080300036,-0.4030482275,0.0414309849,0.3118126362,0.1766218105,0.6134938983
1652459334.9739063,1.1794070918,1736.002100357,673.7181417673,-0.4182253994,0.0414309849,-0.4992058225,-0.2288874188,0.3401006346
1652459335.9739063,1.0961874022,1712.730157111,673.4466459431,-0.4360421101,0.1208043045,0.2609772976,0.190890801,0.6785823499
1652459336.9739063,0.6630698907,1736.7579330449,699.2106293099,-0.3057874785,0.2114724747,-1.1636835623,-0.4761055438,-0.2503068358
1652459337.9739063,0.4810306457,1712.3842232637,709.0437688222,-0.3119780428,0.2114724747,0.5588250989,0.3851487868,0.5199278723
1652459338.9739063,0.3056249265,1741.0844025377,693.2294807398,-0.4231321458,0.1772997021,1.5076609103,0.8424803062,0.9066429184
1652459339.9739063,0.45953965,1725.7891439554,704.4713687376,-0.2254286755,0.0477063256,-1.1602631943,-0.5562784344,-0.3503617722
1652459340.9739063,-0.3291132562,1735.9809577265,686.5451087522,-0.3985757207,0.0439029959,-1.4763591865,-0.7162280953,-0.9027362213
1652459341.9739063,0.1988213995,1737.0967827507,692.5383579942,-0.380259025,0.1698112141,-0.492601843,-0.1613953145,-0.1468902218
1652459342.9739063,0.5286730118,1844.465240291,638.4291224199,-0.31275392,0.1663588787,1.166100816,0.6662298473,0.8473869139
1652459343.9739063,-0.2785535861,1781.6456123167,751.8999528709,-0.2818022978,0.0433699839,-0.2470162626,-0.1018231393,-0.2627849244
1652459344.9739063,-0.7650265575,1744.8201360502,767.0682625641,-0.2341321904,0.0414309849,-1.000487385,-0.4795282001,-0.8827569712
1652459345.9739063,-0.3010309588,1827.5433372622,770.9285107214,1.0534652205,0.0414309849,-0.4728887283,-0.2157288717,-0.3869598435
1652459346.9739063,0.0068347076,486.2049253981,61.8974889152,0.4701090399,0.0414309849,-0.2034944684,-0.0810317417,-0.0983298804
1652459347.9739063,0.2093395981,222.860467037,218.6316602764,1.784877593,0.0414309849,0.0524998974,0.0469654412,0.1309197478
